No.,Name,Age,Birth Date YYYY/MM/DD,Race,Gender,Fmr. Department,Department,Rank,Pol. Skills,Political Affliation,PolAffDetail,Racist?,Belief,Personality / Politics,Backstory,Pic,Notes,Index,Unique,X,Y,Z
69,Deed Carpet,58,1057/11/01,Earth Pony,Male,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Case Aggregator,,Radical,Esoteric Saint Worship,Gamer,Schizophrenic,"A pure, but imprudent and distractble Deed Carpet holds a good amount of power simply as one of the Vigilants who had managed to save a portion of the Bureaucracy. Deed however, sees that the Mystics have been defiling the Saints for so long... and that the Vigilants must do something about it",,,x,"2,2,0",Unique,2,2,0
70,Shawl Sin,46,1069/06/10,Earth Pony,Male,Dep. Fin Cri.,Off. Pol. Ana. Res.,Risk Manager,,Liberal,Diarchist National Constructivist,Mildly,Diarchist,"For the shy and dry Shawl Sin, colonialism had always been an outlying and idiotic choice of policy. His gullibility meant he bought it at first, but after seeing it blow up, Shawl has been advocating for a simple plan of internal development rather than interfereing with the idiots overseas",,,,"0,-1,1",Unique,0,-1,1
71,Binder Bottle,45,1070/09/14,Pegasus,Male,Off. Kni. Int.,Off. Pol. Ana. Res.,Director,,Liberal,Multicultural Reconstructivist,Slightly,Discordant,"A honest, conservative, and decisive politician. Binder is also a deceitful and cautious Vigilant. With the chaos up in the air, Binder has spotted an oppurturnity to push his agenda, and throwing his foot behind Offset, Binder's going to push for it.",,,x,"-1,-1,1",Unique,-1,-1,1
72,Box Stair,41,1074/08/03,Earth Pony,Male,Dep. Mot. For.,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Modernist,Isolationist,Very,Diarchist-Leaning,"Describe Box Stair, and you would know that he is a humorous and incorruptible, though a bit kelptomanic and forceful. And for him, Box Stair seeks out an end to dealing with the foreigners outside so that the internal state can secularise.  ",,,x,"2,-1,1",Unique,2,-1,1
73,Whiskey Cheese,34,1081/01/10,Pegasus,Female,Bur. Enf. Coop.,Off. Pol. Ana. Res.,Inter-order Interaction Analyst,,Liberal,Guided Liberalism via Incentives,Slightly,Diarchist,"Whiskey only ended up working in the Bureau because of her Observant, Steadfast, Brutal, and Conceitedness. She has seen what happened between the various orders, and the oaths are disincentives, there are not enough incentives to guide the way ponies THINK",,,,"-1,-2,-1",Unique,-1,-2,-1
74,Lampoon Puppet,35,1080/05/18,Pegasus,Male,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Information Security Officr,,Radical,Exhaustion Induced Color Revolution Conspiracy Theorist,No,Schizophrenic,"Lampoon is a deep, steadfast and incorruptible pony. But it is a sad thing that has grown discontented and stiff over the years as a Department of iNFORMATIOIN Security Officer. Growing insane and convinced of a foreign plot which conspired with the former Vigilant Grandmaster and the Mystics to destroy their nation",,,Just watch this video this conspiracy is wild: https://www.youtube.com/watch?v=7OFyn_KSy80&list=PLcfqP0PtWDcGKIHGTTbVlpTyUZNL8gjnH&index=4,"-2,2,-2",Unique,-2,2,-2
75,Wabbit Desk,34,1081/02/13,Pegasus,Male,Off. Kni. Int.,Off. Pol. Ana. Res.,Knight Integration Fiscal Manager,,Purist,Shock Therapy Accelerationism,Slightly,Diarchist,"As a decisive, and earth bound pegasus. Wabbit is an extravangent pony, and like that his ideology is as well as extravagent - Shock Therapy Accelerationism. The people after all, have lost their faith. And their faith can be regained if they are allowed to work for themselves... and once they fail, they'll trust the Oranges again!",,,,"-1,-1,-2",Unique,-1,-1,-2
76,Ziggurat Sickle,51,1064/03/05,Pegasus,Female,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Case Aggregator,,Purist,Social Parentalism,Slightly,Diarchist,"A contemplative and genuine mare, Ziggurat has seized the historical era of political reform and social assistance. That was the era, and she is going to seize it and ensure that the state properly served its people",,,,"-1,-1,-1",Unique,-1,-1,-1
77,Hardline Preference,60,1055/01/22,Pegasus,Male,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Information Security Officr,,Liberal,Classical Liberalism,Mildly,Discordant-Leaning,"Compared to most ponies, Hardline Preference is quite the determined stallion. Not fully befitting the title of Vigilant due to his relative fitness. Yet he holds a kind heart underneath that slab of muscles, a more than happy and loving older brother. One that simply contrasts more with his liberal stance and conservative alttitudes",,,,"0,-2,1",Unique,0,-2,1
78,Fluorsecent Flare,64,1051/05/19,Earth Pony,Female,Dep. New. Sec.,Off. Pol. Ana. Res.,Newspaper Data Analyst,,Purist,Social Liberalism,Mildly,Diarchist,"Flurosecent had always been known as a calm mare, and for her political stance too, it is quite moderat eand peaceful for a purist. Her fickleness however, damages the little image she made, oh so quietly just to have thigns go back to normal",,,,"0,-2,-1",Unique,0,-2,-1
79,Maletidicfic Wind,25,1090/01/27,Pegasus,Female,Dep. Cen. Org.,Off. Pol. Ana. Res.,Vigilant Data Analyst,,Modernist,Jeffersonian Minarchism,Very,Discordant-Leaning,Maletidicfic is a rather sttylish yet very much ncermeonious and weak mare. A mare with rather dogmatic beliefs of racism backs the idea of limited democracy among Knights and the minimalism of the state,,,,"1,-2,0",Unique,1,-2,0
80,Crack Windbreaker,49,1066/11/25,Earth Pony,Female,Dep. Law Coop,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Purist,Keyenesian Purism with Imperialist Tendecies,Gamer,Diarchist,"Consdiered a Trusting and ideal purist with a near incorruptible sense only stifled by her chummy and unciritcal altitudes, Crack Windbreaker is a staunt believer in the Diarchy and its right to assert its force. If only the state could help the economy mroe as well",,,x,"2,-2,0",Unique,2,-2,0
81,Limpid oculate,31,1084/10/18,Earth Pony,Female,Dep. Pub. Sec,Off. Pol. Ana. Res.,Public Security Analyst,,Purist,Crusader Socialism,Mildly,Diarchist,"Limpid's a rather Paranoid Altethic earth pony. This insanity paranoid fed into her work as she observed the world. How could they actually ensure safety... more than likely, there was a sense of danger from the foreigners and the aristocrats. They had to be dealt with. ",,,,"0,1,-2",Unique,0,1,-2
82,Rebarbative Critomancy,37,1078/04/28,Earth Pony,Female,Dep. Mot. For.,Off. Pol. Ana. Res.,Motic Data Analyst,,Purist,Peasant Crusaderism,Slightly,Diarchist,"Oft considered a rather cute and well-bred noble breed, it was rather jarring for Rebarabative to have taken the stance to support the liberation of the peasant class. Seeing that the Nobles as the main issue holding the nation back, the Purist Rebarbative had seen to elevate the most pious class of then all - the Peasants",,,,"-1,2,-2",Unique,-1,2,-2
83,Endemic Neckatee,64,1051/11/03,Earth Pony,Female,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Liasion,,Purist,Clerical Fascism,Very,Diarchist,"An old mare preceptive and rather Transparent and impatient. Endemic had lived a good life, and had taken the appointment as a liasion to the Mystics as a sign for her retirement. But the situation has changed, and Endemic has backed behind Exegesis with her brand of Puritianism... it is clear that secularism has no spot in the Diarchy.",,,,"2,-2,-2",Unique,2,-2,-2
84,Equanimous Cheese,54,1061/03/24,Earth Pony,Female,Bur. Enf. Coop.,Off. Pol. Ana. Res.,Knight Policy Advisor,,Modernist,Monetarism,Mildly,Diarchist,"Of all the urbane mares, the authoritarian Equanimous Cheese in her flamboyant nature believes that the economy must be handled well. Through tight control of the economy, the Diarchy can rebuild itself and save itself from full destruction",,,,"0,0,2",Unique,0,0,2
85,Voluble Hydrokinetics,60,1055/09/19,Earth Pony,Male,Off. Jus,Off. Pol. Ana. Res.,Prosecutor,,Modernist,Tolitarinism Secular,Very,Diarchist,"For Voluble, the state needs to utilise its strengh to put down the rabble that caused its issue in the first place. Learning from his background, the humble prosecutor has been convinced that the state must assert itself and put down all the rabble who dare oppose it",,,,"1,0,2",Unique,1,0,2
86,Insolent Kinematics,52,1063/05/17,Earth Pony,Male,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Information Security Policymaker,,Radical,Equestrian Colonialism,Very,Diarchist,"For Insolent, steadfast and balanced approaches are not enough. The enemy must be destroyed in its entirety to even conceive of a world where they can entertian and flee to other places with heretical ideas. The Diarchy MUST use its strength and crush the enemies of its state under an iron boot... forever! ",,,,"2,-1,0",Unique,2,-1,0
87,Uxorious Trigamy,45,1050/02/24,Earth Pony,Male,Off. Jus,Off. Pol. Ana. Res.,Regional Commissioner,,Liberal,Elective Vigilantism,Mildly,Discordant,"A rather self concius, yet hateful stallion. Uxorious political standpoint could only be summed as anti-Proud Stone. Considering that the only way to prevent another mad Grandmaster is Democracy made manifest for the VIgilant Order.",,,,"0,-2,0",Unique,0,-2,0
88,Taciturn Iatrology,39,1056/01/10,Pegasus,Female,Off. Arc. Mat.,Off. Pol. Ana. Res.,Archive Manager,,Liberal,Political Chamelonism,Mildly,Diarchist-Leaning,"For the Patriotic and resourceful Taciturn, her fambloyant nature predisposes her to rather creative ideas. Such as the poltiical concept of Political Chamelonism, suggesting that the poor classes of Equestria could hardly concern and understand true politics... and that the Vigilants could get by simply pretending to be what they want",,,,"0,-1,0",Unique,0,-1,0
89,Carrot Rings,27,1068/10/21,Earth Pony,Male,Dep. Cen. Org.,Off. Pol. Ana. Res.,Regional Commissioner,,Purist,Agricultural Capitalist,Very,Diarchist,"The heart of the Diarchy, for Carrot, is the agricultural economy. Peasants and farmers toil the land, but to improve the food surplus and protect the Diarchy from future Great Wants, the increased efficiency of the land must be made. Subjecting it to the free market",,,x,"2,-2,-1",Unique,2,-2,-1
90,Keys Line,46,1049/08/30,Earth Pony,Male,Off. Pol. Ana. Res.,Off. Pol. Ana. Res.,Inspectorate-Commisar,,Purist,State Capitalism,Mildly,Diarchist,"The State is the source of all the power in the Diarchy, and for Keys it means that to lift the ponies of Equestria out of starvation, it requires the heavy hand of the state to save them from their own bad decisions",,,,"0,1,2",Unique,0,1,2
91,Friable myropologist,33,1082/05/07,Pegasus,Female,Off. Con. Arc. Mat.,Off. Pol. Ana. Res.,Red Cabinet Director,,Purist,Mediacractic Purism,Very,Diarchist,"For Friable, her short tenure as a Red Cabinet Director has taught her many things, learning how to be subtle and gentle made her discouterous, albeit powerful to know how to manipulate the public... if they were to prevent an incident like this again, what can be thought must be controlled",,,,"1,-1,-1",Unique,1,-1,-1
92,Obtuse mabsoot,57,1058/09/10,Pegasus,Female,Dep. New. Sec.,Off. Pol. Ana. Res.,Regulatory Affairs Manager,,Purist,Eco-Fascism,Very,Diarchist,"For the very idiostncratic and so called Sane Obtuse Mabsoot, she beleieves that the only true way to ensure peace with the Diarchs is to destroy the new technologies invented by the foul unicorns. Such as the combustion engine and not dying of common illnesses",,,,"1,-2,-2",Unique,1,-2,-2
93,Intransigent Imperscriptible,64,1051/02/23,Earth Pony,Female,Off. Jus,Off. Pol. Ana. Res.,Detective,,Purist,Anti-Fascist Libertarianism,Mildly,Diarchist,"Ironically, Intransigent is a rather deceptive mare to be a detective, rather ignorant at times yet driven for the truth. She has aligned herself with the Purists in hopes of preventing anymore Proud Stones to emerging, so that ponies of the Diarchy can work well to propser",,,,"0,1,-1",Unique,0,1,-1
94,Heuristic canard,61,1054/05/01,Earth Pony,Female,Dep. Pub. Sec,Off. Pol. Ana. Res.,Public Security Analyst,,Purist,De Francist Restructist,Mildly,Diarchist,"For Heuristic Canard, she beleives that systems are the integrals to results. And as such, to make sure the system obeys and ensures the commoners are alright, thus the nobles must not be allowed to marry within their own class, and social justice must be prused",,,,"0,2,-1",Unique,0,2,-1
95,Guileless Phratry,24,1091/01/22,Earth Pony,Female,Dep. Mot. For.,Off. Pol. Ana. Res.,Motic Data Analyst,,Purist,Liberal Kraterocratist,Slightly,Diarchist,"For the unpredictable Guileless, hearing that she supports in equality but equality of violence is always concerning. Especially with her reputation of being a perverse and paranoid researcher",,,,"-1,2,2",Unique,-1,2,2
96,Pervasive aborticide,41,1074/08/24,Earth Pony,Female,Dep. Spe. Acc,Off. Pol. Ana. Res.,Special Agent,,Modernist,Nationalist Formation,Very,Diarchist-Leaning,"Pervasive believes that many things within the system needs to be improved. One framework that had to be improved as the ideology handling Equestria. Equestria has to be reborn in the frameworth... though, coming from the malicious Pervasive is terrifying ",,,,"1,-2,2",Unique,1,-2,2
97,Concomitant Quackle,57,1058/01/12,Earth Pony,Female,Dep. Nar. Cri,Off. Pol. Ana. Res.,Narcotics Intelligence Analyst,,Purist,Equine Nationalist Maoism,Gamer,Diarchist,"The smooth talking Concomitant believes that the way for Equestria and the Diarchy to move forth is that the concept of the Diarchy must be merged with Equestria, in conjunction with the strengthening of the peasant class.",,,x,"2,2,1",Unique,2,2,1
98,Lachrymose Cnemis,31,1084/07/11,Earth Pony,Female,Off. Fin. Mat,Off. Pol. Ana. Res.,Interprovince Finance Officer,,Modernist,Anocratic Secularist,Very,Diarchist,"Chummy and solid, though rather disobedient, Lachrymose believes that the best way to handle the internal situation is to make a show of mdoernisation and secularisation. Such a system might be incredibly corrupt, but would sufficient by functioning as a counter balance to Vigilant excess",,,,"2,0,0",Unique,2,0,0
99,Voracious Soleiform,48,1067/11/19,Earth Pony,Female,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Liasion,,Purist,Mutualist,Mildly,Diarchist,The ever inclisve Voarcious has seen much over her duty working with the Mystics. And seeing the nature of how the Artificers work have convinced her that decision making should be done from the bottom up to be efficient and efffective,,,,"0,1,1",Unique,0,1,1
100,Didactic Inveigh,57,1058/11/11,Earth Pony,Female,Dep. Fin Cri.,Off. Pol. Ana. Res.,Data Scientist,,Purist,Technoliberalism,Very,Diarchist,"Seeing the amazing advances in technology allowing her work in financial analyst becoming incredibly easy, Didactic believes that through improvemets in technology, rule would be easier to handle which means a loosening of the of the Vigilants to allow for proper Puritian thought to spread across the Diarhcy",,,x,"2,-2,1",Unique,2,-2,1
101,Inverterate Samaragdine,60,1055/01/01,Earth Pony,Female,Dep. New. Sec.,Off. Pol. Ana. Res.,Newspaper Security Manager,,Purist,National Primitivism,Gamer,Diarchist,"Passionate and Open, its often described as a shame that of all ponies that Inverterate sees that the new technology creeping as a dangerous weapon of the unicorns",,,,"2,1,-1",Unique,2,1,-1
102,Pervasive Eutrapely,30,1085/03/13,Earth Pony,Female,Dep. Fin Cri.,Off. Pol. Ana. Res.,Interprovince Finance Officer,,Purist,Regionalist Platformism,Mildly,Diarchist-Leaning,"Pervasive has had a reputation as a rather meddlesome and sensual pony, though focused, she believes in the idea that regional identities have to cooperate harder to prevent invasion from the foreigners once more ",,,,"-1,1,-2",Unique,-1,1,-2
103,Rhadamanthine Edacious,60,1055/11/18,Earth Pony,Female,Dep. Cen. Org.,Off. Pol. Ana. Res.,Central Bureaucracy Manager,,Purist,Diarchist Fascism,Gamer,Diarchist,"Ever the disiciplinarian, Rhadamanthine believes that the state is not united enough. Not violent enough in its supression of deviants. The state must do everything in its power to suppress the Archheretics' influence",,,,"2,0,-2",Unique,2,0,-2
104,Quiescent Culiciform,59,1056/05/01,Earth Pony,Female,Off. Arc. Mat.,Off. Pol. Ana. Res.,Archive Manager,,Purist,Conservative Socialism,Mildly,Diarchist-Leaning,"Pretentious and honest, Quiescent believes in a level of redistributionist was needed in order to ensure that the traditional way of things survives",,,,"-1,0,-2",Unique,-1,0,-2
105,Voluble Woolsey,53,1062/08/05,Pegasus,Female,Off. Arc. Mat.,Off. Pol. Ana. Res.,Archive Manager,,Purist,Fordism,Very,Diarchist,"Freethinking though rather old fashioned, Voluble believes good cooperation between the companies and the Knights would be able to ensure the state can be properly ready to fight off the foreign threats",,,,"1,1,2",Unique,1,1,2
106,Execrable noogenesis,60,1055/11/07,Earth Pony,Male,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Policy Aide,,Liberal,Redistributionist Englightenist,Mildly,Discordant-Leaning,"The old and atheletic Excerable, has always been seen as rather fickle with what he believes and opprtunistic in promotions. But it seems now in his old age he's stuck to the belief that some redistrbution in the system is needed if they are to teach th enext generation of proper Knights",,,,"-1,1,-1",Unique,-1,1,-1
107,Sclerotic lithodomous,62,1053/09/24,Pegasus,Male,Dep. Exp. For.,Off. Pol. Ana. Res.,Experimental Researcher,,Purist,Agaranist,Very,Diarchist,"Flexible yet rather Brittle, Sclerotic believes a return to the farmlands are needed to save the Equestrian soul once more",,,,"1,1,-2",Unique,1,1,-2
108,Ruminative proclisis,46,1069/08/09,Earth Pony,Male,Dep. Nar. Cri,Off. Pol. Ana. Res.,Narcotics Intelligence Analyst,,Purist,Posadism,No,Diarchist-Leaning,"The Revenertial Ruminative believes that with the corrupption in the world, only a full reset may fully save it. Some, somehow, the world must be cleansed in flame in order to svae it. ",,,,"-2,1,-2",Unique,-2,1,-2
109,Verdant Crural,59,1056/07/17,Earth Pony,Male,Dep. Spe. Acc,Off. Pol. Ana. Res.,Special Agent,,Purist,Constitutionalism,Slightly,Diarchist,"Fair and Genuine, Verdant believes that for Purtianism to be safe, a necessity of beliving in the Saints requires rules ot be written down",,,,"-1,0,-1",Unique,-1,0,-1
110,Equanimous phototonus,59,1056/01/25,Earth Pony,Male,Dep. Spe. Acc,Off. Pol. Ana. Res.,Fraud Prevention Specialist,,Purist,RIght-Wing Populism,Very,Diarchist,"Busy and Exciting, Equanimous is rather charismatic and has used his ability to slip and slide amongst the peoples to rile them up. Beliving that if ponies want to believe in fools, then let that fool be one of Orange",,,,"1,2,-2",Unique,1,2,-2
111,Fecund Runcinate,24,1091/09/18,Pegasus,Male,Bur. Enf. Coop.,Off. Pol. Ana. Res.,Inter-order Interaction Analyst,,Purist,Interculturalist Isolationist,No,Diarchist,"Moralistic and Strong Willed, that the foreigners have their own cultures,a nd that every culture should isolate themselves to ensure they didn't cause any issues.",,,,"-2,2,0",Unique,-2,2,0
112,Baleful Discophoran,69,1046/07/15,Earth Pony,Male,Off. Kni. Int.,Off. Pol. Ana. Res.,Director,,Purist,Integrationalist,Slightly,Diarchist,"As one of the remaining higher ups, Baleful Discophoran believes that all species can be integrated into a single nationality as long as they belive in the Saints",,,x,"0,0,1",Unique,0,0,1
113,Limpid Hypsiloid,35,1080/08/27,Earth Pony,Male,Dep. Cen. Org.,Off. Pol. Ana. Res.,Personnel Consuler,,Purist,Dengism,Mildly,Diarchist,"Suave and young, Limpid believes that in order to save the Diarchy. Some compromises must be made to first life the people out of poverty followed with hard industrialism. Once the society has been sufficiently wealthy, can the Purists come in to purify it",,,,"-1,0,2",Unique,-1,0,2
114,Garrulous vardingale,59,1056/08/03,Pegasus,Male,Dep. Law Coop,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Purist,Socialist Agrarnism Vperedism,Mildly,Diarchist,"Beliving in the manner in which the state and society has begun to split, Garrulous rejects the thought of the seperating of the classes into peasants and workers, but peasants and workers have to be united into a united class that is tied to Agranrism ",,,,"0,2,2",Unique,0,2,2
115,Jejune woodwose,50,1065/07/12,Earth Pony,Male,Dep. Vig. Img.,Off. Pol. Ana. Res.,Public Information Officer,,Purist,Paternalistic Convservatism,Very,Diarchist,"Despite the failure of paternalism that lead to the Battle of New Canterlot, Jejume is stern in his believed that such is still the necessary way to advance. ",,,,"1,0,-2",Unique,1,0,-2
116,Concomitant ornithophilous,41,1074/10/25,Earth Pony,Male,Off. Con. Arc. Mat.,Off. Pol. Ana. Res.,Archive Manager,,Purist,Longism,Mildly,Diarchist,"Beliving in what he saw during the battle, the evr chummy adn respectful Concomitant believes that by providing enough goods and services to the people, they would unconditionally support the Diarchy and the true way of the Saints",,,x,"-1,-1,2",Unique,-1,-1,2
117,Effulgent morbiferous,34,1081/07/18,Earth Pony,Male,Dep. Nar. Cri,Off. Pol. Ana. Res.,Narcotics Intelligence Analyst,,Purist,Multicultural Conservative,No,Diarchist-Leaning,"Dignified and Decisive, Effulgent observes and proposes that the various cultures of the races can be coincided if only they were all properly educated in the Saint's light",,,x,"-2,0,-1",Unique,-2,0,-1
118,Trenchant Bongre,48,1067/11/05,Earth Pony,Male,Off. Fin. Mat,Off. Pol. Ana. Res.,Interprovince Finance Officer,,Purist,National Liberal,Mildly,Diarchist-Leaning,"Trenchant has always believed that a loosening of the stringent grip of the Kmights are needed for the ponies of the Diarchy to become able to handle their own perversity and not fall to heresy - with the collapse of traditional beliefs, this rather aimless pony has a goal",,,,"1,-1,1",Unique,1,-1,1
119,Serpentine Moudlwrap,30,1085/07/05,Earth Pony,Male,Off. Fin. Mat,Off. Pol. Ana. Res.,Internal Finance Manager,,Purist,Bismarkism,Very,Diarchist,"Dishonest, Surprising, and always on the ball, Sepentine Mouldwrap believes that the state must enforce class collaboration between the levels, ensure that the working class are cared for and protected, and they would die for the Saints",,,,"1,1,0",Unique,1,1,0
120,Mannered Rencounter,35,1080/10/08,Earth Pony,Male,Dep. Jud. Coop.,Off. Pol. Ana. Res.,Judicial Law Harmonizer,,Purist,Theocratic Modernizer,Mildly,Diarchist,"Inline with traditional orthodoxy, Mannered Recounter believes that the state must be modernized. Adopting a traditional manner of state that is separate from the Knights to keep them in cheque. Whilst still maintaining the current system",,,,"1,-2,-1",Unique,1,-2,-1
121,Rebarbative Lupanarian,38,1073/02/03,Earth Pony,Male,Dep. Exp. For.,Off. Pol. Ana. Res.,Experimental Researcher,,Purist,Totalitarianism,Gamer,Diarchist,"Compared to all others, the auhtoritarian researcher Rebarbative Lupanarian has the rather authoritarian approach that after the battle that it proves that the state must be ever more powerful and paranoid to root out those who wished to subvert it",,,,"2,0,1",Unique,2,0,1
122,Cerulean quaquadrate,50,1065/05/09,Earth Pony,Male,Off. Arc. Mat.,Off. Pol. Ana. Res.,Archive Manager,,Purist,Anti-Authoritarnisim,Mildly,Diarchist,"For Quaquadrate, he believes that the authoritanirsm causes the state to not be ablt to be treated genuninely by the ponies down below within the system. ",,,x,"1,0,0",Unique,1,0,0
123,Meretricious Kohl,49,1066/10/08,Earth Pony,Male,Dep. Cen. Org.,Off. Pol. Ana. Res.,Vigilant Data Analyst,,Purist,Religious Nationalism,Gamer,Diarchist,"For Metericious, the lessons of the Battle is that clearly religious fanaticism is not enough. Fanaticism in the nation state must be added in order to properly bring the people to properly hold it and defend it well.",,,Ivan Illyn cameo,"2,0,-1",Unique,2,0,-1
124,Dowdy Acultomancy,42,1073/05/01,Earth Pony,Male,Dep. Int. Fin.,Off. Pol. Ana. Res.,Interprovince Coordination Policymaker,,Purist,Reflectionists,Mildly,Diarchist,"For the practical, and very pragmatic Dowdy. He believes the problem is that nopony reads a Saintsdamn book and chills the fuck out",,,x,"-1,-2,0",Unique,-1,-2,0
125,Rebarbative Glirine,48,1067/09/04,Pegasus,Male,Dep. Law Coop,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Purist,Diarchist Vigilance,Slightly,Diarchist,"Rebarbative simply believes that everything is fine. But for the state to be better, there should be two Grandmasters instead of one",,,,"-1,0,0",Unique,-1,0,0